OBJECTID,CWC_NAME,Proj_Acres,Action,County,Year,Access,GIS_Acres,Hectares,Map_Label,Date,TAXIDNUM,Township,GlobalID,Acre_Surve,Cama_acres,Shape_Leng,Shape_Area,Project_Nm,AreaRnd_WN,Agency_Nm
1,Barrens to Bald Eagle Corridor,38.7,CWC Owned,Centre,2010,OPEN,37.9799,15.3699,Barrens to Bald Eagle,04/29/2010,"17-001-,008-,0000-",Halfmoon,{7B43DDEB-0E94-4A6F-8265-4A20821078CC},0.0,38.7,7351.48130617,1654399.1622,Fee002,39,
2,Buck Run,60.01,Easement,Clearfield,2011,NO,61.8974,25.049,Buck Run,01/27/2011,1140P0400000007,Girard,,0.0,0.0,6710.26803131,2696238.50099,CE013,60,
3,Buffalo Run Farm,196.93,Easement,Centre,2007,NO,198.106,80.1707,,12/28/2007,"18-002-,013-,0000-",Patton,{3BF6E55D-768D-4C1A-AFBF-9952AFE11EFB},0.0,194.93,15603.4544534,8629468.75442,CE010,197,
4,Canoe Creek Conservation Bank,214.63,Easement,Blair,2019,NO,214.809,86.9301,Canoe Creek Conservation Bank,12/27/2019,08.00-22..-057.00-000,Frankstown,,0.0,0.0,13668.3598947,9357041.97955,CE021,215,
5,Chicory Lane,68.78,Easement,Centre,2017,NO,67.4263,27.2865,Chicory Lane,07/25/2017,"21-004-,057-,0000-",Gregg,{FB00BCF6-6AB3-4099-89E3-744F99BB1CF7},0.0,68.78,8784.61160933,2937079.70773,CE017,69,
6,Decker,570.7,Facilitated,Centre,2015,OPEN,540.159,218.595,Decker,5/14/2015,"20-003-,019-,0000-",Potter,{241050AC-AD32-415B-8E02-34948B819494},0.0,465.29,33846.4289405,23529240.4297,Fac009,571,PA Bureau of Forestry
7,Eagle Field,244.63,Easement,Centre,2007,NO,247.072,99.9863,Eagle Field,06/14/2007,"18-301-,001A,0000-",Patton,{ABBE9884-76CA-4861-9C64-F3E87DAEB98E},0.0,174.94,18250.2759086,10762393.6328,CE008,245,
8,Everhart Farm,156.9,Easement,Centre,2017,NO,157.688,63.8142,,09/26/2017,"19-005-,032-,0000-",College,{438BF47A-5454-4227-8EE0-43FDDBA509EE},0.0,157.21,12798.3526781,6868880.70868,CE018,157,
9,Gailbraith Gap,152.32,Conveyed to,Centre,2011,OPEN,152.669,61.783,Gailbraith Gap,11/04/2011,"25-004-,055W,0000-",Harris,{F5371CC6-6EA8-419F-8120-B163E64A9B85},0.0,152.32,14449.1223772,6650239.43849,Fac004,152,PA Bureau of Forestry
10,Gray's Woods Preserve,149.7,Easement,Centre,2018,OPEN,115.498,46.7404,,2/22/2022,"18-003-,200A,0000-",Patton,{2CE7B2C8-1679-42FD-8F5D-5C57B119217E},0.0,104.83,12101.961151,5031072.19049,CE024,150,Patton Township
11,Hale,281.5,Conveyed to,Centre,2014,OPEN,258.093,104.447,Hale,10/29/2014,"25-004-,015-,0000-",Ferguson,{04E87095-253B-4993-9F2A-C57D5BCADE25},0.0,208.03,19821.4604139,11242484.6892,Fac008,282,PA Bureau of Forestry
12,Hilton Garden Inn,3.8,Easement,Centre,2004,NO,7.5836,3.06897,,12/21/2004,"19-012-,005-,0000-",College,{430B2BD5-B109-486A-84A2-16166C232B12},0.0,7.53,2691.09444082,330340.244641,CE006,4,
13,Hoy,28.52,Facilitated,Centre,2015,OPEN,30.4444,12.3204,Hoy,12/18/2015,"24-007-,049-,0000-",Ferguson,{9B40EA77-B234-4B24-88AB-6C015783429C},0.0,28.52,6603.30336797,1326154.64643,Fac010,29,PA Bureau of Forestry
14,Kettle Run Farm,112.57,Easement,Centre,2007,NO,154.901,62.6863,Kettle Run Farm,12/20/2007,"22-005-,002-,0000-",Penn,{00B938A2-56D4-4E38-AE23-5A910C5CA469},0.0,125.15,10442.5973333,6747465.11236,CE009,113,
15,Lisle,4.38,Easement,Centre,2005,NO,5.394,2.18287,Lisle,01/03/2005,"19-008-,147-,0000-",College,{61380DD8-D911-48AE-8174-D003EFC76C16},0.0,4.4,2065.04929648,234961.622643,CE007,4,
